Event	ID	Name			Wwise Object Path	Notes
	208556064	EnemyHurt			\Default Work Unit\Enemy\EnemyHurt	
	277246121	FireUzi			\Default Work Unit\Weapons\FireUzi	
	408495308	FireAR			\Default Work Unit\Weapons\FireAR	
	1307992046	StopLevelMusic			\Default Work Unit\Music\StopLevelMusic	
	1628310244	StartLevelMusic			\Default Work Unit\Music\StartLevelMusic	
	1802703809	StopFireUzi			\Default Work Unit\Weapons\StopFireUzi	
	1866025847	Footstep			\Default Work Unit\Player\Footstep	
	1973898857	StopMenuMusic			\Default Work Unit\Music\StopMenuMusic	
	2054046788	Line9			\Default Work Unit\Dialouge\Level1\Line9	
	2054046789	Line8			\Default Work Unit\Dialouge\Level1\Line8	
	2054046792	Line5			\Default Work Unit\Dialouge\Level1\Line5	
	2054046793	Line4			\Default Work Unit\Dialouge\Level1\Line4	
	2054046794	Line7			\Default Work Unit\Dialouge\Level1\Line7	
	2054046796	Line1			\Default Work Unit\Dialouge\Level1\Line1	
	2054046798	Line3			\Default Work Unit\Dialouge\Level1\Line3	
	2054046799	Line2			\Default Work Unit\Dialouge\Level1\Line2	
	2440264179	StartMenuMusic			\Default Work Unit\Music\StartMenuMusic	
	2496290125	FireShotgun			\Default Work Unit\Weapons\FireShotgun	
	2715854868	PowerDown			\Default Work Unit\PowerSource\PowerDown	
	3249137159	EnemyDeath			\Default Work Unit\Enemy\EnemyDeath	
	3866501340	FirePistol			\Default Work Unit\Weapons\FirePistol	
	3950429679	PowerUp			\Default Work Unit\PowerSource\PowerUp	

Switch Group	ID	Name			Wwise Object Path	Notes
	2385628198	Footsteps			\Default Work Unit\Footsteps	

Switch	ID	Name	Switch Group			Notes
	841620460	Concrete	Footsteps			
	2473969246	Metal	Footsteps			

State Group	ID	Name			Wwise Object Path	Notes
	2909291642	Stealth			\Default Work Unit\Stealth	

State	ID	Name	State Group			Notes
	748895195	None	Stealth			
	2108779966	Walk	Stealth			
	2884887403	Sneak	Stealth			

Custom State	ID	Name	State Group	Owner		Notes
	1050495409	Sneak	Stealth	\Actor-Mixer Hierarchy\Default Work Unit\Player\Footsteps		

Game Parameter	ID	Name			Wwise Object Path	Notes
	3418139957	Sneaking			\Default Work Unit\Sneaking	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	643898	Pistol Shots GMTK_01	D:\Game And Sound Project Files\Github\GMTK-2021-Game-Jam\GMTK's Game Jam 2021\GMTK's Game Jam 2021_WwiseProject\.cache\Mac\SFX\Pistol Shots GMTK_24E5BBAF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\WeaponsMixer\ARShots\Pistol Shots GMTK_01		162540
	50458522	Enemy Death Sounds GMTK_03	D:\Game And Sound Project Files\Github\GMTK-2021-Game-Jam\GMTK's Game Jam 2021\GMTK's Game Jam 2021_WwiseProject\.cache\Mac\SFX\Enemy Death Sounds GMTK_79E4776E.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy\Enemy\DeathSounds\Enemy Death Sounds GMTK_03		242832
	82753902	Enemy Death Sounds GMTK	D:\Game And Sound Project Files\Github\GMTK-2021-Game-Jam\GMTK's Game Jam 2021\GMTK's Game Jam 2021_WwiseProject\.cache\Mac\SFX\Enemy Death Sounds GMTK_99DA106F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy\Enemy\DeathSounds\Enemy Death Sounds GMTK		234644
	105379253	Level 1 Dialouge_02	D:\Game And Sound Project Files\Github\GMTK-2021-Game-Jam\GMTK's Game Jam 2021\GMTK's Game Jam 2021_WwiseProject\.cache\Mac\SFX\Level 1 Dialouge_30124785.wem		\Actor-Mixer Hierarchy\Dialouge\Level 1\Dialouge\Level 1 Dialouge_02		2168368
	120745981	Metal footsteps-1_02	D:\Game And Sound Project Files\Github\GMTK-2021-Game-Jam\GMTK's Game Jam 2021\GMTK's Game Jam 2021_WwiseProject\.cache\Mac\SFX\Metal footsteps-1_BE2A7081.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Footsteps\Metal\Metal footsteps-1_02		52404
	153030953	Pistol Shots GMTK_02	D:\Game And Sound Project Files\Github\GMTK-2021-Game-Jam\GMTK's Game Jam 2021\GMTK's Game Jam 2021_WwiseProject\.cache\Mac\SFX\Pistol Shots GMTK_32D9FB1C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\WeaponsMixer\ARShots\Pistol Shots GMTK_02		193488
	154598439	Tile Footsteps_01	D:\Game And Sound Project Files\Github\GMTK-2021-Game-Jam\GMTK's Game Jam 2021\GMTK's Game Jam 2021_WwiseProject\.cache\Mac\SFX\Tile Footsteps_A49F0A94.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Footsteps\Concrete\Tile Footsteps_01		48296
	215009283	Level 1 Dialouge_03	D:\Game And Sound Project Files\Github\GMTK-2021-Game-Jam\GMTK's Game Jam 2021\GMTK's Game Jam 2021_WwiseProject\.cache\Mac\SFX\Level 1 Dialouge_3C8EE92A.wem		\Actor-Mixer Hierarchy\Dialouge\Level 1\Dialouge\Level 1 Dialouge_03		1471200
	221413942	Tile Footsteps	D:\Game And Sound Project Files\Github\GMTK-2021-Game-Jam\GMTK's Game Jam 2021\GMTK's Game Jam 2021_WwiseProject\.cache\Mac\SFX\Tile Footsteps_8964884B.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Footsteps\Concrete\Tile Footsteps		45892
	234352725	Tile Footsteps_02	D:\Game And Sound Project Files\Github\GMTK-2021-Game-Jam\GMTK's Game Jam 2021\GMTK's Game Jam 2021_WwiseProject\.cache\Mac\SFX\Tile Footsteps_F847B441.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Footsteps\Concrete\Tile Footsteps_02		49788
